ticker,company,sector,sub-sector,quarter,year,date,sentiment scores,compiled sentiment
DAL,Delta Air Lines,Industrials,Passenger Airlines,QQ1,2024,4/10/2024 13:22,"{'neg': 0.023, 'neu': 0.717, 'pos': 0.26, 'compound': 1.0}",1
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,QQ1,2024,5/2/2024 0:00,"{'neg': 0.018, 'neu': 0.701, 'pos': 0.281, 'compound': 1.0}",1
DXCM,Dexcom,Health Care,Health Care Equipment,QQ1,2024,4/25/2024 0:00,"{'neg': 0.017, 'neu': 0.753, 'pos': 0.23, 'compound': 1.0}",1
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,QQ1,2024,5/1/2024 0:00,"{'neg': 0.036, 'neu': 0.745, 'pos': 0.219, 'compound': 1.0}",1
DLR,Digital Realty,Real Estate,Data Center REITs,QQ1,2024,5/2/2024 0:00,"{'neg': 0.025, 'neu': 0.761, 'pos': 0.214, 'compound': 1.0}",1
DFS,Discover Financial,Financials,Consumer Finance,QQ1,2024,4/18/2024 9:51,"{'neg': 0.044, 'neu': 0.75, 'pos': 0.206, 'compound': 0.9997}",1
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,QQ1,2024,6/1/2023 0:00,"{'neg': 0.035, 'neu': 0.721, 'pos': 0.244, 'compound': 1.0}",1
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,QQ1,2024,6/5/2024 11:12,"{'neg': 0.037, 'neu': 0.762, 'pos': 0.201, 'compound': 1.0}",1
D,Dominion Energy,Utilities,Multi-Utilities,QQ1,2024,5/2/2024 13:31,"{'neg': 0.017, 'neu': 0.773, 'pos': 0.21, 'compound': 1.0}",1
DPZ,Domino's,Consumer Discretionary,Restaurants,QQ1,2024,4/29/2024 0:00,"{'neg': 0.021, 'neu': 0.721, 'pos': 0.258, 'compound': 1.0}",1
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,QQ1,2024,4/25/2024 0:00,"{'neg': 0.031, 'neu': 0.748, 'pos': 0.221, 'compound': 1.0}",1
DOW,Dow Inc.,Materials,Commodity Chemicals,QQ1,2024,4/25/2024 0:00,"{'neg': 0.031, 'neu': 0.762, 'pos': 0.207, 'compound': 1.0}",1
DHI,DR Horton,Consumer Discretionary,Homebuilding,QQ1,2024,1/23/2024 11:18,"{'neg': 0.027, 'neu': 0.774, 'pos': 0.199, 'compound': 1.0}",1
DTE,DTE Energy,Utilities,Multi-Utilities,QQ1,2024,4/25/2024 0:00,"{'neg': 0.018, 'neu': 0.714, 'pos': 0.267, 'compound': 1.0}",1
DUK,Duke Energy,Utilities,Electric Utilities,QQ1,2024,5/7/2024 0:00,"{'neg': 0.009, 'neu': 0.739, 'pos': 0.253, 'compound': 1.0}",1
DD,DuPont,Materials,Specialty Chemicals,QQ1,2024,5/1/2024 0:00,"{'neg': 0.037, 'neu': 0.747, 'pos': 0.217, 'compound': 1.0}",1
EMN,Eastman Chemical Company,Materials,Specialty Chemicals,QQ1,2024,4/26/2024 0:00,"{'neg': 0.045, 'neu': 0.747, 'pos': 0.208, 'compound': 1.0}",1
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,QQ1,2024,4/30/2024 0:00,"{'neg': 0.017, 'neu': 0.747, 'pos': 0.235, 'compound': 1.0}",1
EBAY,eBay,Consumer Discretionary,Broadline Retail,QQ1,2024,5/1/2024 0:00,"{'neg': 0.014, 'neu': 0.763, 'pos': 0.223, 'compound': 1.0}",1
ECL,Ecolab,Materials,Specialty Chemicals,QQ1,2024,4/30/2024 0:00,"{'neg': 0.017, 'neu': 0.698, 'pos': 0.285, 'compound': 1.0}",1
EIX,Edison International,Utilities,Electric Utilities,QQ1,2024,4/30/2024 0:00,"{'neg': 0.047, 'neu': 0.738, 'pos': 0.215, 'compound': 1.0}",1
EW,Edwards Lifesciences,Health Care,Health Care Equipment,QQ1,2024,4/25/2024 0:00,"{'neg': 0.024, 'neu': 0.71, 'pos': 0.266, 'compound': 1.0}",1
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,QQ1,2024,8/1/2023 20:06,"{'neg': 0.025, 'neu': 0.707, 'pos': 0.268, 'compound': 1.0}",1
ELV,Elevance Health,Health Care,Managed Health Care,QQ1,2024,4/18/2024 12:19,"{'neg': 0.023, 'neu': 0.691, 'pos': 0.286, 'compound': 1.0}",1
LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,QQ1,2024,4/30/2024 0:00,"{'neg': 0.039, 'neu': 0.758, 'pos': 0.204, 'compound': 1.0}",1
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,QQ1,2024,2/7/2024 12:25,"{'neg': 0.022, 'neu': 0.727, 'pos': 0.251, 'compound': 1.0}",1
ENPH,Enphase,Information Technology,Semiconductor Materials & Equipment,QQ1,2024,4/23/2024 20:43,"{'neg': 0.032, 'neu': 0.771, 'pos': 0.196, 'compound': 1.0}",1
ETR,Entergy,Utilities,Electric Utilities,QQ1,2024,4/24/2024 0:00,"{'neg': 0.025, 'neu': 0.756, 'pos': 0.219, 'compound': 1.0}",1
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,QQ1,2024,5/3/2024 0:00,"{'neg': 0.031, 'neu': 0.695, 'pos': 0.274, 'compound': 1.0}",1
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,QQ1,2024,5/9/2024 0:00,"{'neg': 0.061, 'neu': 0.743, 'pos': 0.196, 'compound': 1.0}",1
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,QQ1,2024,4/24/2024 0:00,"{'neg': 0.045, 'neu': 0.725, 'pos': 0.23, 'compound': 1.0}",1
EFX,Equifax,Industrials,Research & Consulting Services,QQ1,2024,4/18/2024 15:39,"{'neg': 0.025, 'neu': 0.751, 'pos': 0.224, 'compound': 1.0}",1
EQIX,Equinix,Real Estate,Data Center REITs,QQ1,2024,5/9/2024 0:00,"{'neg': 0.025, 'neu': 0.748, 'pos': 0.227, 'compound': 1.0}",1
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,QQ1,2024,4/24/2024 0:00,"{'neg': 0.041, 'neu': 0.726, 'pos': 0.232, 'compound': 1.0}",1
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,QQ1,2024,5/1/2024 0:00,"{'neg': 0.034, 'neu': 0.737, 'pos': 0.229, 'compound': 1.0}",1
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,QQ1,2024,11/1/2023 14:14,"{'neg': 0.045, 'neu': 0.695, 'pos': 0.259, 'compound': 1.0}",1
ETSY,Etsy,Consumer Discretionary,Broadline Retail,QQ1,2024,5/1/2024 0:00,"{'neg': 0.034, 'neu': 0.715, 'pos': 0.252, 'compound': 1.0}",1
EG,Everest Re,Financials,Reinsurance,QQ1,2024,4/30/2024 0:00,"{'neg': 0.064, 'neu': 0.712, 'pos': 0.224, 'compound': 1.0}",1
EVRG,Evergy,Utilities,Electric Utilities,QQ1,2024,5/9/2024 0:00,"{'neg': 0.026, 'neu': 0.781, 'pos': 0.193, 'compound': 1.0}",1
ES,Eversource,Utilities,Electric Utilities,QQ1,2024,5/2/2024 0:00,"{'neg': 0.042, 'neu': 0.728, 'pos': 0.231, 'compound': 1.0}",1
EXC,Exelon,Utilities,Electric Utilities,QQ1,2024,5/2/2024 0:00,"{'neg': 0.038, 'neu': 0.728, 'pos': 0.234, 'compound': 1.0}",1
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",QQ1,2024,5/2/2024 0:00,"{'neg': 0.023, 'neu': 0.716, 'pos': 0.26, 'compound': 1.0}",1
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,QQ1,2024,5/1/2024 0:00,"{'neg': 0.031, 'neu': 0.76, 'pos': 0.209, 'compound': 1.0}",1
XOM,ExxonMobil,Energy,Integrated Oil & Gas,QQ1,2024,4/27/2024 0:00,"{'neg': 0.051, 'neu': 0.694, 'pos': 0.254, 'compound': 1.0}",1
FFIV,"F5, Inc.",Information Technology,Communications Equipment,QQ1,2024,1/29/2024 20:00,"{'neg': 0.021, 'neu': 0.771, 'pos': 0.208, 'compound': 1.0}",1
FDS,FactSet,Financials,Financial Exchanges & Data,QQ1,2024,12/19/2023 14:03,"{'neg': 0.026, 'neu': 0.707, 'pos': 0.267, 'compound': 1.0}",1
FICO,Fair Isaac,Information Technology,Application Software,QQ1,2024,1/25/2024 0:00,"{'neg': 0.023, 'neu': 0.788, 'pos': 0.189, 'compound': 1.0}",1
FAST,Fastenal,Industrials,Trading Companies & Distributors,QQ1,2024,4/11/2024 11:19,"{'neg': 0.039, 'neu': 0.755, 'pos': 0.206, 'compound': 1.0}",1
